Função;Categoria;Subcategoria;Descrição da subcategoria;Nivel de Maturidade Atual;Pontuação Atual;Cenário Atual;Evidência/Fonte;Gaps;Recomendações
GOVERNAR (GV);Contexto Organizacional (GV.OC);GV. OC-01;"A missão organizacional é compreendida e informa a gestão de riscos em cibersegurança

Exemplo 1: Compartilhar a missão da organização (por exemplo, por meio de declarações de visão e missão, marketing e estratégias de serviço) para fornecer uma base para identificar riscos que possam dificultar essa missão";Nível 2: Informado sobre Riscos;2.0;A missão da organização é compreendida e informa a gestão de riscos em cibersegurança, mas não há uma abordagem formalmente estabelecida para priorizar as atividades e necessidades de proteção de cibersegurança.;[FONTE: Política de Segurança da Informação e Comunicações.pdf] A missão organizacional é compreendida e informa a gestão de riscos em cibersegurança, como mencionado na política.;A priorização das atividades e necessidades de proteção de cibersegurança não está formalmente estabelecida.;Elaborar política formal para priorizar as atividades e necessidades de proteção de cibersegurança.
GOVERNAR (GV);Contexto Organizacional (GV.OC);GV. OC-02;"Stakeholders internos e externos são compreendidos, e suas necessidades e expectativas em relação à gestão de riscos em cibersegurança são compreendidas e consideradas

Exemplo 1: Identificar stakeholders internos relevantes e suas expectativas relacionadas à cibersegurança (por exemplo, expectativas de desempenho e risco de diretores, diretores e consultores; expectativas culturais dos funcionários)
Exemplo 2: Identificar partes interessadas externas relevantes e suas expectativas relacionadas à cibersegurança (por exemplo, expectativas de privacidade dos clientes, expectativas de negócios em relação a parcerias, expectativas de conformidade dos reguladores, expectativas éticas da sociedade)";Nível 2: Informado sobre Riscos;2.0;A organização tem uma política de segurança da informação e comunicações que aborda a gestão de riscos, incidentes em redes computacionais e continuidade de negócios. Além disso, há um grupo de pessoas responsáveis por receber, analisar e responder a notificações e atividades relacionadas a incidentes de segurança.;"[FONTE: Política de Segurança da Informação e Comunicações.pdf] - Objetivos estabelecidos na política; Gestão de risco; Gestão de continuidade; Auditoria e Conformidade";A política não especifica como os stakeholders internos e externos são compreendidos e suas necessidades e expectativas em relação à gestagem de riscos em cibersegurança são compreendidas e consideradas.;Elaborar política formal para a compreensão dos stakeholders internos e externos e suas necessidades e expectativas em relação à gestão de riscos em cibersegurança.
GOVERNAR (GV);Contexto Organizacional (GV.OC);GV. OC-03;"Os requisitos legais, regulatórios e contratuais relacionados à cibersegurança – incluindo obrigações de privacidade e liberdades civis – são compreendidos e gerenciados

Exemplo 1: Determinar um processo para rastrear e gerenciar requisitos legais e regulatórios relativos à proteção das informações dos indivíduos (por exemplo, Lei de Portabilidade e Responsabilidade de Seguros de Saúde, Lei de Privacidade do Consumidor da Califórnia, Regulamento Geral de Proteção de Dados)
Exemplo 2: Determinar um processo para rastrear e gerenciar os requisitos contratuais para a gestão de cibersegurança das informações de fornecedores, clientes e parceiros
Exemplo 3: Alinhar a estratégia de cibersegurança da organização com os requisitos legais, regulatórios e contratuais";Nível 2: Informado sobre Riscos;2.0;A organização tem uma política de segurança da informação e comunicações que aborda os requisitos legais, regulatórios e contratuais relacionados à cibersegurança. No entanto, a gestão desses requisitos não é formalmente estabelecida como política.;[FONTE: Política de Segurança da Informação e Comunicações.pdf] O conteúdo da política aborda os objetivos estabelecidos na política, incluindo a disponibilidade, propriedade de que a informação esteja acessível e utilizável sob demanda.;A gestão formal dos requisitos legais, regulatórios e contratuais relacionados à cibersegurança é necessária para garantir a conformidade com as legislações vigentes.;Elaborar política formal para gerenciar os requisitos legais, regulatórios e contratuais relacionados à cibersegurança.
GOVERNAR (GV);Contexto Organizacional (GV.OC);GV. OC-04;"Objetivos críticos, capacidades e serviços dos quais as partes interessadas externas dependem ou esperam da organização são compreendidos e comunicados

Exemplo 1: Estabelecer critérios para determinar a criticidade de capacidades e serviços conforme avaliados por partes interessadas internas e externas
Exemplo 2: Determinar (por exemplo, a partir de uma análise de impacto empresarial) os ativos e operações empresariais que são vitais para alcançar os objetivos da missão e o possível impacto de uma perda (ou perda parcial) dessas operações
Exemplo 3: Estabelecer e comunicar objetivos de resiliência (por exemplo, objetivos de tempo de recuperação) para entregar capacidades e serviços críticos em vários estados operacionais (por exemplo, sob ataque, durante a recuperação, operação normal)";Nível 2: Informado sobre Riscos;2.0;A organização tem uma política de segurança da informação e comunicações que aborda a compreensão dos objetivos críticos, capacidades e serviços dos quais as partes interessadas externas dependem ou esperam.;"[FONTE: Política de Segurança da Informação e Comunicações.pdf] - Objetivos estabelecidos na política; disponibilidade: propriedade de que a informação esteja acessível e utilizável sob demanda por uma pessoa física ou determinado sistema, órgão ou entidade.";A política não estabelece critérios formais para determinar a criticidade de capacidades e serviços, nem objetivos de resiliência para entrega de capacidades e serviços críticos em vários estados operacionais.;Elaborar política formal que defina critérios para determinar a criticidade de capacidades e serviços, e estabeleça objetivos de resiliência para entrega de capacidades e serviços críticos em vários estados operacionais.
GOVERNAR (GV);Contexto Organizacional (GV.OC);GV. OC-05;"Resultados, capacidades e serviços dos quais a organização depende são compreendidos e comunicados

Exemplo 1: Criar um inventário das dependências da organização em relação a recursos externos (por exemplo, instalações, provedores de hospedagem baseados em nuvem) e suas relações com ativos organizacionais e funções de negócios
Exemplo 2: Identificar e documentar dependências externas que possam ser pontos de falha para as capacidades e serviços críticos da organização, e compartilhar essas informações com o pessoal apropriado";Nível 2: Informado sobre Riscos;2.0;A organização tem uma política de segurança da informação e comunicações que aborda a gestão de risco, continuidade de negócios e auditoria e conformidade. No entanto, não há um inventário explícito das dependências da organização em relação a recursos externos.;[FONTE: Política de Segurança da Informação e Comunicações.pdf] A política estabelece objetivos para a gestão de risco e continuidade de negócios, mas não menciona explicitamente as dependências da organização em relação a recursos externos.;Elaborar um inventário das dependências da organização em relação a recursos externos;Implementar um inventário das dependências da organização em relação a recursos externos para melhor compreender e gerenciar os riscos
GOVERNAR (GV);Estratégia de Gestão de Riscos (GV.RM);GV. RM-01;"Os objetivos de gestão de riscos são estabelecidos e acordados pelas partes interessadas da organização

Exemplo 1: Atualizar os objetivos de gestão de riscos de cibersegurança de curto e longo prazo como parte do planejamento estratégico anual e quando ocorrem grandes mudanças
Exemplo 2: Estabelecer objetivos mensuráveis para a gestão de riscos de cibersegurança (por exemplo, gerenciar a qualidade do treinamento dos usuários, garantir proteção adequada contra riscos para sistemas de controle industrial)
Exemplo 3: Líderes seniores concordam sobre os objetivos de cibersegurança e os utilizam para medir e gerenciar riscos e desempenho";Nível 2: Informado sobre Riscos;2.0;A organização tem uma política de segurança da informação e comunicações que aborda a gestão de riscos, continuidade de negócios e auditoria e conformidade. No entanto, não há evidências claras sobre como os objetivos de gestão de risco são estabelecidos e acordados pelas partes interessadas.;[FONTE: Política de Segurança da Informação e Comunicações.pdf] A política estabelece a gestão de riscos, continuidade de negócios e auditoria e conformidade, mas não especifica como os objetivos de gestão de risco são estabelecidos e acordados.;Evidências claras sobre como os objetivos de gestão de risco são estabelecidos e acordados pelas partes interessadas;Elaborar política formal para a gestão de riscos e estabelecer processos claros para a definição e aceitação dos objetivos de gestão de risco
GOVERNAR (GV);Estratégia de Gestão de Riscos (GV.RM);GV. RM-02;"Declarações de apetite ao risco e tolerância ao risco são estabelecidas, comunicadas e mantidas

Exemplo 1: Determinar e comunicar declarações de apetite pelo risco que transmitam expectativas sobre o nível adequado de risco para a organização
Exemplo2: Traduzir declarações de apetite ao risco em declarações específicas, mensuráveis e amplamente compreensíveis de tolerância ao risco
Exemplo 3: Refinar periodicamente os objetivos organizacionais e o apetite pelo risco com base na exposição ao risco conhecida e no risco residual";Nível 2: Informado sobre Riscos;2.0;A política de segurança da informação e comunicações estabelece a gestão de risco como um dos principais objetivos, mas não define explicitamente as declarações de apetite ao risco e tolerância ao risco.;[FONTE: Política de Segurança da Informação e Comunicações.pdf] A política estabelece a gestão de risco como um dos principais objetivos, mas não define explicitamente as declarações de apetite ao risco e tolerância ao risco.;Definição explícita das declarações de apetite ao risco e tolerância ao risco;Elaborar política formal para estabelecer as declarações de apetite ao risco e tolerância ao risco
GOVERNAR (GV);Estratégia de Gestão de Riscos (GV.RM);GV. RM-03;"As atividades e resultados de gestão de riscos em cibersegurança estão incluídos nos processos de gestão de riscos empresariais

Exemplo 1: Agregar e gerenciar riscos de cibersegurança junto com outros riscos empresariais (por exemplo, conformidade, financeiro, operacional, regulatório, reputacional, segurança)
Exemplo 2: Incluir gestores de riscos de cibersegurança no planejamento de gestão de riscos empresariais
Exemplo 3: Estabelecer critérios para a escalada dos riscos de cibersegurança dentro da gestão de riscos empresariais";Nível 2: Informado sobre Riscos;2.0;As práticas de gestão de riscos em cibersegurança estão incluídas nos processos de gestão de riscos empresariais, mas não há uma abordagem formalmente aprovada e expressa como política.;[FONTE: Política de Segurança da Informação e Comunicações.pdf] O conteúdo estabelece objetivos para a gestão de riscos em cibersegurança, incluindo a identificação e implementação das medidas de proteção necessárias para a mitigação ou eliminação dos riscos.;A política não define critérios formais para a escalada dos riscos de cibersegurança dentro da gestão de riscos empresariais.;Elaborar política formal para a gestão de riscos em cibersegurança e estabelecer critérios para a escalada dos riscos.
GOVERNAR (GV);Estratégia de Gestão de Riscos (GV.RM);GV. RM-04;"A direção estratégica que descreve as opções adequadas de resposta ao risco é estabelecida e comunicada

Exemplo 1: Especifique critérios para aceitar e evitar riscos de cibersegurança para várias classificações de dados
Exemplo 2: Determine se deve adquirir um seguro de cibersegurança
Exemplo 3: Condições de documentos sob as quais modelos de responsabilidade compartilhada são aceitáveis (por exemplo, terceirização de certas funções de cibersegurança, terceirização de transações financeiras em nome da organização, uso de serviços públicos baseados em nuvem)";Nível 2: Informado sobre Riscos;2.0;A direção estratégica que descreve as opções adequadas de resposta ao risco é estabelecida e comunicada.;[FONTE: Política de Segurança da Informação e Comunicações.pdf] A política estabelece objetivos para a gestão de riscos, incluindo a identificação e implementação das medidas de proteção necessárias para a mitigação ou eliminação dos riscos.;A política não define critérios formais para aceitar e evitar riscos de cibersegurança para várias classificações de dados.;Elaborar política formal para definir critérios para aceitar e evitar riscos de cibersegurança.
GOVERNAR (GV);Estratégia de Gestão de Riscos (GV.RM);GV. RM-05;"Linhas de comunicação em toda a organização são estabelecidas para riscos de cibersegurança, incluindo riscos de fornecedores e outras terceirizadas

Exemplo 1: Determinar como atualizar executivos seniores, diretores e gestão sobre a postura de cibersegurança da organização em intervalos acordados
Exemplo 2: Identificar como todos os departamentos da organização – como gestão, operações, auditores internos, jurídico, aquisições, segurança física e RH – irão se comunicar entre si sobre riscos de cibersegurança";Nível 2: Informado sobre Riscos;2.0;A organização estabeleceu linhas de comunicação em toda a organização para riscos de cibersegurança, incluindo riscos de fornecedores e outras terceirizadas.;[FONTE: Política de Segurança da Informação e Comunicações.pdf] - CGTI estabeleceu gestão de risco para identificar e implementar medidas de proteção necessárias para a mitigação ou eliminação dos riscos.;A política não é formalmente aprovada pela administração, mas há um esforço para gerenciar riscos de cibersegurança.;Elaborar política formal e estabelecer processos claros para a gestão de riscos.
